x, y, z
0.405686,0.574793,0.552149
0.667495,0.737809,0.656753
0.605994,0.362395,0.340573
0.890979,0.235234,0.524816
0.198934,0.667132,0.509118
0.449318,0.0603106,0.442559
0.390469,0.466518,0.0393501
0.19629,0.9025,0.609671
0.729067,0.327784,0.237163
0.555892,0.704325,0.447236
0.302755,0.110011,0.0220288
0.854904,0.777506,0.759838
0.511657,0.3835,0.122233
0.85223,0.274479,0.357467
0.377046,0.473413,0.0245988
0.886164,0.922732,0.0849094
0.328723,0.3132,0.551428
0.368073,0.509491,0.453927
0.977744,0.238558,0.781711
0.214907,0.79445,0.486036
0.662143,0.0972049,0.596048
0.684172,0.952109,0.373554
0.44401,0.463766,0.757054
0.566242,0.315996,0.0315332
0.923709,0.693042,0.504947
0.948308,0.579206,0.427678
0.0332173,0.907929,0.740879
0.584645,0.276001,0.250369
0.0385722,0.253746,0.488927
0.820284,0.468652,0.283377
0.30632,0.130795,0.380582
0.902367,0.814967,0.332691
0.275921,0.258977,0.796457
0.032975,0.825219,0.112453
0.0645082,0.748929,0.805495
0.569455,0.697237,0.384701
0.997133,0.730454,0.29263
0.738012,0.315099,0.568631
0.988381,0.353671,0.822377
0.477309,0.173954,0.291029
0.760686,0.480274,0.421825
0.141267,0.382641,0.236792
0.473958,0.658562,0.49577
0.270415,0.691537,0.320989
0.382868,0.756046,0.0699177
0.188364,0.3255,0.767154
0.573065,0.322634,0.497608
0.865695,0.0606457,0.812707
0.434327,0.0490271,0.166377
0.256704,0.526336,0.340332
0.547733,0.287021,0.820606
0.969558,0.428289,0.203247
0.206351,0.902247,0.861809
0.70212,0.172662,0.553347
0.0231092,0.555531,0.309392
0.0930269,0.743894,0.634893
0.860181,0.316959,0.957526
0.357789,0.182655,0.018172
0.170496,0.616981,0.0671991
0.336873,0.873685,0.593535
0.677204,0.421418,0.880556
0.49781,0.390976,0.308845
0.701057,0.597327,0.211092
0.562866,0.299447,0.383754
0.116213,0.322556,0.939285
0.425605,0.415583,0.683179
0.0604977,0.275764,0.00013869
0.018024,0.633553,0.182793
0.036196,0.804049,0.799774
0.103395,0.140922,0.673459
0.69693,0.818126,0.0948775
0.577486,0.315936,0.485854
0.886331,0.0169934,0.0831806
0.0974228,0.57986,0.382628
0.481177,0.696073,0.705184
0.420462,0.121678,0.120767
0.103642,0.182175,0.396531
0.10378,0.200199,0.0300842
0.286573,0.236396,0.834133
0.0863479,0.339791,0.975055
0.759807,0.0367205,0.793181
0.854685,0.614206,0.109118
0.340539,0.500537,0.126111
0.423719,0.59796,0.705971
0.806347,0.0791373,0.402043
0.511531,0.4996,0.523721
0.632297,0.603241,0.705897
0.0288284,0.707021,0.906096
0.0589126,0.993595,0.142492
0.893046,0.0799428,0.482282
0.868101,0.83975,0.519003
0.661282,0.694435,0.133209
0.770399,0.0349734,0.633746
0.89651,0.458693,0.231707
0.602481,0.265039,0.310844
0.00452423,0.77657,0.810443
0.528245,0.408867,0.413685
0.234142,0.437696,0.120706
0.140238,0.496608,0.114301
0.282729,0.389654,0.194243
0.765012,0.257754,0.0339935
0.284014,0.919036,0.728428
0.417223,0.689435,0.763402
0.0509699,0.585945,0.222094
0.282676,0.188426,0.487134
0.59352,0.19295,0.263704
0.403964,0.721196,0.672571
0.817648,0.955338,0.110267
0.938354,0.0955755,0.606875
0.0526549,0.378305,0.996529
0.246898,0.143316,0.254283
0.280892,0.427331,0.173319
0.00932018,0.844554,0.862754
0.772722,0.895524,0.4487
0.994816,0.1782,0.637126
0.48195,0.771721,0.830076
0.745654,0.175684,0.551272
0.418224,0.993333,0.50661
0.528491,0.931687,0.602185
0.135366,0.984342,0.98049
0.131894,0.23124,0.123806
0.386177,0.512132,0.551137
0.559496,0.521452,0.395691
0.42225,0.294174,0.291215
0.87095,0.28899,0.469415
0.508076,0.77094,0.241136
0.338152,0.516594,0.41682
0.889424,0.934818,0.410153
0.396033,0.463309,0.34184
0.998218,0.598675,0.326182
0.978708,0.730569,0.557422
0.102515,0.116747,0.0695541
0.653651,0.676243,0.591006
0.0493423,0.098493,0.88518
0.340557,0.969443,0.174171
0.809972,0.477519,0.945111
0.0511077,0.81567,0.461705
0.467928,0.705094,0.396523
0.878081,0.101128,0.859833
0.219921,0.099346,0.458508
0.546103,0.0780543,0.189077
0.103525,0.180569,0.305824
0.173079,0.83422,0.982066
0.764085,0.883563,0.0805595
0.649266,0.22412,0.0500024
0.823436,0.0340917,0.527521
0.768547,0.0851994,0.343191
0.230253,0.553127,0.0482855
0.626776,0.431208,0.149413
0.486609,0.651129,0.248759
0.945117,0.197232,0.326813
0.134194,0.300757,0.507382
0.440018,0.473836,0.341602
0.422084,0.237921,0.225165
0.502644,0.887187,0.449285
0.552646,0.710623,0.483376
0.080167,0.479171,0.568576
0.423358,0.709423,0.121703
0.471644,0.336199,0.552911
0.621057,0.822808,0.204041
0.869816,0.767925,0.401273
0.196629,0.902119,0.70203
0.704012,0.342136,0.175866
0.045614,0.76422,0.413787
0.270779,0.266864,0.300974
0.720064,0.81951,0.0115968
0.20344,0.899677,0.490767
0.772016,0.323036,0.20019
0.893719,0.79468,0.536389
0.446631,0.415737,0.359197
0.650671,0.285553,0.127122
0.0519441,0.482182,0.0292405
0.753974,0.186194,0.371377
0.92984,0.231808,0.135597
0.343627,0.502587,0.402461
0.6446,0.222651,0.221972
0.656197,0.426091,0.121649
0.146964,0.198107,0.444685
0.347155,0.0918262,0.239364
0.883544,0.538457,0.655101
0.242742,0.189128,0.940653
0.369863,0.241072,0.422835
0.399104,0.995046,0.609029
0.770481,0.924886,0.840837
0.906078,0.268512,0.343423
0.308539,0.913112,0.566074
0.530511,0.569309,0.992165
0.65216,0.716274,0.190272
0.0968446,0.0634286,0.282098
0.336209,0.946973,0.820555
0.991309,0.189714,0.00968275
0.931963,0.559578,0.250755
0.354798,0.958682,0.245801
0.963827,0.729163,0.170687
0.804664,0.635241,0.439199
0.148087,0.94378,0.352311
0.714161,0.474291,0.921621
0.706326,0.126451,0.637894
0.896597,0.223296,0.701323
0.178695,0.559505,0.648296
0.99925,0.550814,0.83801
0.00893252,0.482777,0.397588
0.259687,0.837575,0.35627
0.505488,0.801403,0.0854329
0.676175,0.606067,0.720674
0.115374,0.754154,0.664454
0.467685,0.468314,0.138745
0.389305,0.17464,0.265197
0.0271996,0.0712372,0.488493
0.728523,0.249932,0.0479976
0.376819,0.249182,0.598812
0.214829,0.258115,0.0815889
0.612417,0.517802,0.919164
0.968687,0.0232903,0.720567
0.0541202,0.699465,0.326633
0.774794,0.814839,0.080787
0.439248,0.282524,0.549101
0.577993,0.671829,0.723741
0.84319,0.699028,0.794979
0.331683,0.427551,0.0449109
0.379681,0.80437,0.294093
0.978493,0.0191984,0.552208
0.0600815,0.631615,0.0700095
0.979246,0.600303,0.0932999
0.699813,0.654423,0.792765
0.0264462,0.429217,0.607604
0.107233,0.868465,0.890127
0.656335,0.446458,0.561956
0.380076,0.289649,0.260985
0.175055,0.621332,0.688536
0.219966,0.00101292,0.492905
0.514058,0.979506,0.512104
0.066266,0.0395871,0.143719
0.136276,0.0188329,0.744022
0.229575,0.718646,0.398445
0.0223405,0.745092,0.827662
0.629944,0.852325,0.696127
0.520072,0.50866,0.142585
0.0820282,0.888736,0.432234
0.343013,0.0637906,0.0535663
0.0315485,0.283756,0.0545792
0.524454,0.797815,0.0340848
0.0365574,0.864081,0.0736718
