x, y, z
0.159173,0.900901,0.354654
0.960001,0.449807,0.216209
0.26844,0.254649,0.926916
0.4133,0.531024,0.550199
0.601501,0.490576,0.0451962
0.733787,0.215533,0.330006
0.0267506,0.00776948,0.948215
0.471281,0.762797,0.161134
0.408733,0.720642,0.416937
0.736402,0.920922,0.470208
0.80827,0.0800939,0.371113
0.162924,0.0400952,0.82092
0.379124,0.308527,0.0756015
0.306048,0.721835,0.606594
0.856247,0.323337,0.0971701
0.901443,0.0571213,0.312706
0.231448,0.0838769,0.320469
0.179665,0.557999,0.0815111
0.339252,0.966732,0.802152
0.756189,0.703135,0.723074
0.226401,0.511414,0.80316
0.597514,0.674325,0.843265
0.41843,0.0534607,0.151799
0.494,0.359509,0.873635
0.100594,0.215757,0.196971
0.197822,0.117295,0.253946
0.510477,0.348686,0.337968
0.83094,0.528315,0.895968
0.912451,0.867567,0.8627
0.714603,0.623756,0.565835
0.437677,0.850152,0.0772393
0.240845,0.447666,0.751569
0.0841093,0.866093,0.805028
0.235911,0.360091,0.164537
0.109543,0.460687,0.380294
0.306514,0.658452,0.497494
0.560609,0.168919,0.846144
0.898577,0.999861,0.374457
0.794545,0.91231,0.242026
0.657243,0.626916,0.86578
0.223081,0.0645902,0.715935
0.300327,0.305436,0.163593
0.0518873,0.389546,0.0296904
0.856915,0.625454,0.389784
0.0214515,0.734996,0.850472
0.401745,0.04151,0.508923
0.89924,0.602118,0.677843
0.745733,0.5007,0.678222
0.119843,0.295243,0.590011
0.361869,0.952487,0.216923
0.227645,0.175556,0.281505
0.943585,0.475888,0.58695
0.107183,0.527775,0.976495
0.136873,0.384688,0.601948
0.526648,0.406105,0.336945
0.377643,0.808184,0.378504
0.886052,0.707124,0.980575
0.563895,0.452509,0.481269
0.241592,0.572338,0.776516
0.831608,0.934219,0.728996
0.0485294,0.161871,0.904566
0.330043,0.105456,0.380454
0.916993,0.212639,0.90823
0.893488,0.349513,0.292919
0.495437,0.876171,0.699061
0.832381,0.2533,0.506947
0.210785,0.139269,0.214234
0.191409,0.703248,0.666582
0.672678,0.944844,0.238934
0.452033,0.774692,0.171606
0.178186,0.824984,0.335026
0.0827528,0.155023,0.440481
0.463567,0.0720808,0.653356
0.371437,0.965503,0.00263275
0.664356,0.460939,0.878803
0.363416,0.29333,0.132077
0.870364,0.504154,0.271457
0.0844359,0.695563,0.974705
0.751018,0.368242,0.919549
0.989951,0.817431,0.695999
0.163106,0.995617,0.520979
0.497771,0.0783045,0.675766
0.938612,0.541578,0.748016
0.591732,0.913013,0.71352
0.594366,0.57737,0.174459
0.473169,0.940786,0.467778
0.605272,0.811149,0.971933
0.876727,0.895586,0.667498
0.851435,0.646604,0.0357363
0.770982,0.636554,0.853168
0.466982,0.79966,0.848785
0.987961,0.29779,0.927155
0.663963,0.236403,0.468732
0.411466,0.827837,0.381698
0.125499,0.422502,0.959116
0.299958,0.89567,0.899902
0.767387,0.500938,0.71053
0.739669,0.377671,0.606636
0.407165,0.229105,0.253239
0.442903,8.74877e-05,0.889793
